rule_id,condition,condition_device,operator,value,action_device,action,action_value,priority
R1281,temperature,Light,>,21,Light,SET,26,5
R1282,temperature,AC,=,35,Fan,OFF,21,3
R1283,time,AC,>,34,AC,SET,23,3
R1284,occupancy,AC,<,26,Light,OFF,23,3
R1285,temperature,AC,>,33,Fan,SET,21,1
R1286,occupancy,AC,>,33,AC,ON,21,4
R1287,time,Light,>,32,Light,SET,24,1
R1288,temperature,AC,>,26,AC,ON,23,2
R1289,time,Fan,=,31,Light,ON,18,5
R1290,time,AC,>,16,Fan,SET,17,2
R1291,temperature,Fan,=,21,AC,SET,19,1
R1292,time,Fan,=,28,AC,SET,17,4
R1293,occupancy,Fan,=,18,Light,OFF,24,1
R1294,temperature,Light,>,30,Light,OFF,18,1
R1295,time,Light,=,25,AC,SET,26,2
R1296,time,Fan,=,23,Fan,OFF,25,2
R1297,temperature,AC,=,34,Light,SET,29,4
R1298,time,Light,<,27,Light,OFF,17,3
R1299,temperature,Light,>,23,Fan,SET,21,2
R1300,time,Fan,>,32,Light,SET,19,3
R1301,occupancy,Light,=,35,AC,OFF,30,2
R1302,occupancy,AC,<,26,Light,ON,23,5
R1303,occupancy,Light,=,20,Light,ON,22,1
R1304,temperature,Light,=,17,Light,OFF,29,5
R1305,time,Fan,<,34,Fan,OFF,26,1
R1306,time,AC,<,35,Light,ON,25,1
R1307,time,Fan,<,24,Light,SET,17,1
R1308,temperature,AC,<,21,Light,SET,20,5
R1309,occupancy,Light,=,31,Fan,SET,25,3
R1310,occupancy,Light,>,29,AC,ON,24,1
R1311,time,Light,=,16,Fan,OFF,26,3
R1312,temperature,Light,=,16,Fan,ON,23,1
R1313,temperature,Fan,<,22,Light,ON,26,5
R1314,occupancy,Light,>,35,AC,OFF,21,3
R1315,occupancy,Light,<,32,AC,SET,27,3
R1316,time,Fan,=,16,AC,SET,17,3
R1317,occupancy,AC,>,22,Fan,SET,29,5
R1318,temperature,Fan,=,25,Fan,OFF,26,2
R1319,temperature,Fan,>,34,Light,ON,16,2
R1320,occupancy,AC,<,24,Fan,SET,16,4
R1321,time,Light,<,21,Fan,OFF,24,4
R1322,occupancy,Fan,<,23,AC,OFF,26,3
R1323,time,Fan,>,33,Light,ON,16,3
R1324,time,AC,=,29,AC,ON,20,1
R1325,time,Light,=,18,Light,OFF,16,3
R1326,occupancy,Light,>,21,AC,ON,16,1
R1327,occupancy,Fan,<,23,AC,SET,28,4
R1328,occupancy,Light,<,28,Fan,SET,23,2
R1329,occupancy,Fan,>,26,Light,SET,22,3
R1330,time,Light,<,16,Light,OFF,22,4
R1331,occupancy,Fan,=,21,Light,OFF,22,5
R1332,occupancy,AC,>,17,AC,SET,16,4
R1333,temperature,Fan,<,24,Fan,OFF,29,3
R1334,temperature,Fan,=,32,Fan,ON,18,3
R1335,time,Fan,<,30,AC,OFF,20,5
R1336,temperature,Fan,>,26,Light,SET,27,3
R1337,occupancy,Fan,>,29,Light,ON,30,2
R1338,occupancy,AC,=,19,Light,SET,22,1
R1339,time,Light,=,30,Fan,ON,26,2
R1340,time,Light,<,21,AC,OFF,25,3
R1341,time,AC,=,20,Fan,ON,17,2
R1342,time,Fan,<,18,AC,SET,24,5
R1343,temperature,Fan,=,30,Fan,ON,29,4
R1344,temperature,Fan,=,35,AC,OFF,29,1
R1345,time,Light,>,30,AC,SET,20,3
R1346,temperature,Light,<,31,Fan,SET,25,4
R1347,temperature,Fan,<,32,Light,SET,25,3
R1348,temperature,Fan,>,28,Light,SET,27,5
R1349,temperature,Light,<,30,Fan,SET,20,5
R1350,time,Light,>,33,Fan,OFF,19,5
R1351,temperature,Light,<,21,Light,SET,17,4
R1352,time,Light,>,16,Fan,OFF,19,5
R1353,time,Fan,>,27,Fan,ON,27,2
R1354,occupancy,AC,=,33,Fan,OFF,30,1
R1355,occupancy,Light,<,29,Light,SET,21,3
R1356,occupancy,Light,>,29,Light,SET,17,1
R1357,temperature,Light,>,30,AC,ON,17,4
R1358,time,Fan,=,25,AC,SET,18,2
R1359,time,Fan,=,21,AC,ON,18,3
R1360,occupancy,AC,=,21,Fan,SET,21,5
R1361,occupancy,AC,<,21,Light,OFF,23,1
R1362,occupancy,AC,<,35,AC,ON,24,3
R1363,occupancy,Fan,=,17,AC,ON,19,2
R1364,temperature,Light,>,20,Light,OFF,27,3
R1365,temperature,AC,=,31,Fan,ON,19,4
R1366,occupancy,AC,<,29,AC,OFF,18,2
R1367,time,AC,>,27,Fan,SET,20,4
R1368,temperature,Light,>,34,Light,SET,26,4
R1369,occupancy,Fan,>,19,Fan,ON,27,2
R1370,time,Light,=,23,Fan,ON,29,3
R1371,temperature,Light,>,28,Light,OFF,21,2
R1372,temperature,Light,<,21,Fan,OFF,16,3
R1373,time,Fan,<,31,AC,ON,30,2
R1374,temperature,Fan,=,27,AC,OFF,16,1
R1375,occupancy,AC,=,16,AC,ON,20,1
R1376,occupancy,Light,>,31,Fan,SET,29,5
R1377,time,Fan,>,32,Fan,ON,16,2
R1378,occupancy,Light,>,23,Fan,OFF,21,5
R1379,occupancy,Light,<,34,Light,OFF,17,2
R1380,time,Fan,>,35,Light,ON,28,5
R1381,occupancy,Fan,=,33,AC,OFF,16,5
R1382,occupancy,Fan,=,22,AC,SET,30,3
R1383,time,Light,=,20,Fan,ON,26,4
R1384,occupancy,Light,<,16,Fan,ON,20,5
R1385,occupancy,AC,<,26,AC,OFF,21,1
R1386,occupancy,Fan,<,32,Light,SET,28,4
R1387,time,Light,<,26,Light,SET,30,1
R1388,occupancy,Light,=,20,AC,SET,19,4
R1389,temperature,AC,<,23,AC,OFF,16,2
R1390,occupancy,Light,>,17,Fan,ON,29,1
R1391,time,Light,>,28,AC,OFF,21,1
R1392,time,Fan,=,20,AC,ON,29,1
R1393,temperature,AC,>,20,AC,SET,18,4
R1394,time,Fan,>,20,Light,OFF,20,1
R1395,occupancy,AC,<,35,AC,OFF,18,2
R1396,occupancy,AC,>,20,Light,ON,16,1
R1397,temperature,AC,>,30,Light,ON,25,1
R1398,temperature,Fan,=,23,Fan,SET,16,2
R1399,time,Light,>,23,Fan,SET,19,4
R1400,temperature,Fan,>,31,Fan,SET,18,3
R1401,time,Fan,<,31,Fan,OFF,20,5
R1402,temperature,Fan,<,34,Fan,SET,19,5
R1403,occupancy,AC,=,22,AC,ON,26,3
R1404,occupancy,AC,<,23,AC,ON,22,5
R1405,temperature,AC,>,26,Fan,ON,23,4
R1406,time,AC,<,22,Fan,ON,18,4
R1407,time,Fan,=,33,Light,ON,23,3
R1408,time,AC,=,21,Light,OFF,20,4
R1409,temperature,AC,<,29,AC,SET,25,2
R1410,temperature,AC,=,23,AC,ON,24,2
R1411,time,Light,<,21,Light,ON,18,2
R1412,temperature,AC,<,20,Fan,OFF,26,5
R1413,temperature,AC,=,19,Fan,SET,20,3
R1414,temperature,Fan,>,21,Light,ON,18,3
R1415,occupancy,Fan,=,16,Light,OFF,26,4
R1416,time,Light,=,23,Light,SET,26,2
R1417,occupancy,Fan,>,35,Light,ON,19,3
R1418,temperature,Fan,>,27,AC,SET,29,4
R1419,occupancy,AC,=,32,Fan,SET,24,2
R1420,time,Light,>,35,AC,SET,21,3
R1421,temperature,Light,=,24,Fan,ON,24,5
R1422,occupancy,Fan,>,32,Light,OFF,18,5
R1423,occupancy,AC,>,22,AC,OFF,16,2
R1424,occupancy,Fan,>,33,Fan,ON,25,5
R1425,occupancy,Fan,=,30,Fan,SET,23,3
R1426,time,AC,=,35,AC,SET,20,3
R1427,time,Light,<,27,AC,ON,24,3
R1428,time,AC,=,20,Fan,OFF,29,5
R1429,time,Fan,>,27,Light,ON,26,2
R1430,time,AC,=,17,Fan,OFF,21,1
R1431,time,Light,<,18,AC,OFF,22,2
R1432,time,Fan,=,32,AC,OFF,28,4
R1433,time,AC,=,26,Light,SET,22,3
R1434,occupancy,AC,>,29,Fan,OFF,18,1
R1435,occupancy,Light,>,16,Fan,OFF,21,2
R1436,occupancy,AC,<,18,Fan,SET,19,2
R1437,occupancy,Fan,>,27,AC,ON,30,2
R1438,time,AC,>,35,AC,OFF,21,2
R1439,time,AC,=,16,Light,OFF,30,5
R1440,time,Light,>,21,AC,OFF,21,2
R1441,temperature,Fan,=,30,Fan,SET,23,4
R1442,time,Fan,<,28,Fan,OFF,20,1
R1443,temperature,Light,>,17,Fan,SET,26,4
R1444,time,Light,>,17,Light,ON,17,4
R1445,time,AC,<,25,Light,ON,28,1
R1446,temperature,Light,=,25,AC,OFF,17,4
R1447,temperature,Fan,<,34,Light,SET,16,5
R1448,temperature,Light,>,17,Light,OFF,28,3
R1449,time,AC,=,22,Light,ON,17,4
R1450,time,AC,>,25,Light,OFF,25,5
R1451,temperature,Fan,>,24,AC,ON,18,4
R1452,temperature,AC,=,24,Light,ON,19,4
R1453,temperature,Fan,>,22,AC,ON,21,3
R1454,time,Fan,=,26,AC,SET,22,5
R1455,occupancy,Fan,<,19,Fan,ON,17,4
R1456,occupancy,Fan,>,26,Fan,SET,16,2
R1457,time,Fan,=,20,Fan,OFF,23,1
R1458,temperature,AC,<,23,Light,SET,22,2
R1459,temperature,AC,>,18,Light,ON,22,3
R1460,temperature,AC,<,22,Fan,SET,25,4
R1461,temperature,AC,<,19,Light,OFF,29,1
R1462,occupancy,Light,<,31,AC,OFF,21,1
R1463,occupancy,Light,>,31,AC,ON,23,1
R1464,temperature,AC,<,20,Fan,ON,27,2
R1465,temperature,Fan,=,21,Fan,SET,30,3
R1466,temperature,Fan,=,17,Light,SET,25,5
R1467,occupancy,AC,<,23,AC,SET,22,5
R1468,temperature,Light,=,35,Light,ON,19,1
R1469,temperature,Light,<,17,AC,SET,28,1
R1470,time,AC,>,35,Fan,SET,27,5
R1471,temperature,Light,=,21,Light,SET,24,2
R1472,occupancy,Fan,=,34,Fan,OFF,25,1
R1473,temperature,Light,>,25,Light,OFF,21,3
R1474,temperature,Fan,<,21,Fan,ON,19,4
R1475,time,Light,=,28,Fan,SET,30,4
R1476,occupancy,AC,>,26,AC,SET,28,1
R1477,temperature,Light,<,20,Fan,SET,19,2
R1478,temperature,Fan,<,31,Light,SET,24,4
R1479,temperature,Fan,<,32,AC,SET,16,4
R1480,occupancy,Light,>,24,AC,ON,24,5
R1481,time,AC,=,23,AC,ON,27,3
R1482,temperature,Light,>,17,Light,OFF,18,4
R1483,time,Fan,>,28,Light,ON,18,4
R1484,temperature,AC,=,26,Light,ON,17,4
R1485,time,Light,<,17,Light,ON,24,4
R1486,occupancy,AC,>,16,Light,SET,20,4
R1487,temperature,Light,>,34,AC,SET,26,2
R1488,time,Fan,<,22,Fan,SET,16,4
R1489,time,AC,>,34,Light,OFF,26,2
R1490,occupancy,Fan,=,28,Light,ON,23,4
R1491,occupancy,Fan,>,32,Light,ON,16,3
R1492,time,AC,=,35,AC,ON,24,3
R1493,temperature,Light,=,21,Fan,ON,16,4
R1494,time,Light,>,27,Fan,SET,30,5
R1495,occupancy,AC,=,34,Light,OFF,20,3
R1496,temperature,AC,<,18,Fan,ON,16,3
R1497,occupancy,Light,=,34,Light,ON,16,2
R1498,occupancy,Light,>,32,AC,OFF,27,1
R1499,occupancy,AC,<,31,Light,SET,20,5
R1500,time,AC,>,30,Fan,ON,20,2
R1501,time,AC,<,29,Fan,SET,21,1
R1502,occupancy,Fan,>,31,Fan,ON,26,1
R1503,temperature,Fan,<,27,Light,SET,26,1
R1504,temperature,Fan,>,33,AC,ON,29,5
R1505,time,AC,=,17,AC,OFF,22,1
R1506,occupancy,Fan,<,27,Fan,OFF,23,5
R1507,occupancy,AC,<,23,Fan,ON,26,3
R1508,time,AC,=,20,Fan,OFF,16,3
R1509,time,AC,<,33,AC,ON,28,2
R1510,time,Fan,=,18,AC,ON,17,2
R1511,temperature,AC,=,20,AC,ON,20,2
R1512,temperature,Light,=,35,AC,OFF,25,1
R1513,occupancy,Light,=,33,Fan,OFF,17,4
R1514,occupancy,Light,>,31,Fan,OFF,20,1
R1515,occupancy,AC,<,23,Light,OFF,20,5
R1516,time,Light,>,29,Light,SET,18,4
R1517,temperature,Fan,=,30,AC,SET,22,2
R1518,temperature,Fan,=,17,AC,ON,27,3
R1519,occupancy,Light,=,25,Fan,ON,21,2
R1520,time,AC,>,32,Light,OFF,21,5
R1521,occupancy,Fan,<,35,Light,SET,30,5
R1522,temperature,Fan,<,27,AC,ON,30,5
R1523,time,AC,>,23,Light,ON,20,5
R1524,time,AC,=,25,Fan,OFF,20,4
R1525,temperature,Light,=,30,AC,SET,22,2
R1526,time,Light,>,32,Fan,SET,23,1
R1527,occupancy,Light,<,30,Fan,ON,28,4
R1528,temperature,Light,>,24,AC,ON,27,5
R1529,time,AC,<,34,AC,ON,26,1
R1530,occupancy,AC,>,25,Fan,SET,27,3
R1531,time,AC,>,19,Fan,ON,23,3
R1532,occupancy,Light,=,29,AC,SET,17,1
R1533,temperature,Fan,=,35,Fan,OFF,24,4
R1534,time,AC,=,27,Fan,ON,21,3
R1535,time,AC,=,26,Fan,ON,27,5
R1536,time,Light,<,26,AC,ON,27,3
R1537,temperature,Fan,>,32,AC,SET,27,5
R1538,occupancy,Light,>,32,AC,OFF,20,4
R1539,occupancy,Fan,>,20,Light,SET,27,5
R1540,occupancy,AC,=,33,Light,OFF,30,2
R1541,temperature,Light,>,16,Fan,ON,16,3
R1542,occupancy,Light,>,25,Light,SET,24,1
R1543,time,Fan,>,18,Fan,OFF,16,5
R1544,time,AC,<,26,AC,SET,18,2
R1545,time,Light,=,24,Fan,SET,20,2
R1546,temperature,AC,<,33,Light,SET,17,2
R1547,occupancy,Light,<,20,Fan,SET,16,4
R1548,occupancy,Light,>,17,AC,OFF,25,2
R1549,occupancy,Light,=,17,Fan,SET,24,1
R1550,occupancy,Fan,<,16,AC,OFF,28,4
R1551,occupancy,Fan,=,28,Light,ON,16,3
R1552,time,Fan,>,22,Fan,ON,17,4
R1553,occupancy,Fan,<,18,Fan,ON,28,3
R1554,temperature,AC,=,26,Fan,OFF,22,2
R1555,time,Light,=,21,Light,ON,20,3
R1556,time,Fan,=,26,AC,ON,23,4
R1557,time,Light,<,31,Fan,ON,19,4
R1558,temperature,Fan,<,16,AC,OFF,23,1
R1559,time,Light,<,25,AC,OFF,30,1
R1560,time,Light,=,20,Fan,ON,22,1
R1561,time,Light,<,35,Light,SET,30,2
R1562,occupancy,Light,>,33,Fan,ON,23,4
R1563,occupancy,Fan,>,20,AC,OFF,20,3
R1564,occupancy,Fan,>,22,Fan,ON,20,3
R1565,time,Light,=,21,Fan,ON,29,2
R1566,occupancy,Fan,>,34,AC,SET,30,4
R1567,time,Fan,<,21,Fan,OFF,21,4
R1568,occupancy,AC,>,25,Light,OFF,26,3
R1569,time,Light,<,27,Light,SET,21,2
R1570,occupancy,Light,<,21,AC,ON,26,4
R1571,temperature,Fan,>,26,Fan,SET,30,3
R1572,occupancy,Fan,=,22,Light,OFF,26,4
R1573,time,Light,=,30,Fan,ON,28,1
R1574,time,Fan,>,24,AC,SET,24,2
R1575,time,Light,<,18,Fan,OFF,28,2
R1576,time,Fan,=,24,AC,SET,16,2
R1577,temperature,Light,=,30,Light,SET,19,5
R1578,time,Fan,>,24,AC,OFF,18,3
R1579,time,AC,<,29,Light,OFF,24,5
R1580,occupancy,Light,=,35,AC,SET,24,5
R1581,time,AC,<,21,Fan,OFF,18,4
R1582,occupancy,AC,>,27,Fan,OFF,24,4
R1583,occupancy,Light,>,26,Fan,ON,17,4
R1584,occupancy,Light,<,22,Fan,ON,30,1
R1585,occupancy,Light,=,31,AC,ON,17,2
R1586,occupancy,AC,=,19,Fan,ON,22,2
R1587,occupancy,Fan,>,25,Light,SET,26,1
R1588,time,Light,=,32,Light,OFF,25,5
R1589,time,Fan,<,21,Light,SET,17,4
R1590,time,Fan,<,34,Light,ON,26,2
R1591,temperature,Fan,<,33,Fan,ON,23,3
R1592,temperature,AC,<,30,AC,SET,26,4
R1593,occupancy,Fan,<,35,AC,SET,21,5
R1594,occupancy,Light,>,22,Fan,SET,18,3
R1595,time,AC,=,22,Fan,SET,28,1
R1596,temperature,AC,<,26,Fan,ON,18,4
R1597,occupancy,AC,<,26,Light,OFF,18,1
R1598,temperature,AC,=,26,AC,ON,23,5
R1599,temperature,Fan,>,29,Fan,SET,23,1
R1600,time,AC,>,22,AC,OFF,28,5
R1601,occupancy,AC,=,22,AC,OFF,22,3
R1602,occupancy,Fan,>,23,Fan,ON,19,3
R1603,temperature,Light,>,17,AC,SET,18,2
R1604,occupancy,Fan,<,35,AC,OFF,20,4
R1605,time,Fan,=,30,Fan,SET,16,5
R1606,temperature,AC,<,29,Light,ON,26,4
R1607,time,Light,>,21,AC,ON,17,3
R1608,occupancy,Fan,<,28,AC,ON,28,3
R1609,occupancy,Light,=,23,Fan,OFF,24,5
R1610,occupancy,Light,<,25,Light,ON,20,4
R1611,time,AC,=,28,AC,SET,28,1
R1612,temperature,AC,=,20,Light,OFF,16,4
R1613,occupancy,Fan,>,34,Fan,SET,18,1
R1614,time,AC,>,35,AC,SET,20,2
R1615,occupancy,Light,=,26,AC,OFF,22,2
R1616,time,Light,>,17,Light,SET,25,4
R1617,time,Fan,>,19,AC,ON,18,5
R1618,temperature,AC,=,34,Light,ON,24,5
R1619,temperature,AC,>,27,AC,SET,28,5
R1620,time,Light,<,25,Fan,SET,22,3
R1621,temperature,AC,=,28,Light,OFF,16,5
R1622,temperature,Light,>,16,Fan,ON,26,3
R1623,time,Light,>,18,Light,OFF,28,4
R1624,temperature,AC,>,29,AC,ON,30,3
R1625,occupancy,AC,>,19,Light,OFF,30,3
R1626,temperature,Fan,=,26,Light,ON,26,3
R1627,time,AC,=,18,Light,SET,23,5
R1628,time,Light,<,35,Light,SET,16,1
R1629,time,Fan,<,18,Fan,ON,26,2
R1630,occupancy,AC,>,27,Light,OFF,20,5
R1631,time,Fan,>,34,AC,SET,30,2
R1632,temperature,AC,>,18,Fan,OFF,30,5
R1633,time,AC,=,28,Fan,ON,19,4
R1634,time,Light,>,24,Light,OFF,23,3
R1635,temperature,AC,=,29,AC,ON,17,1
R1636,occupancy,AC,=,16,Fan,ON,19,3
R1637,temperature,Light,>,25,Light,OFF,24,4
R1638,time,Light,=,33,AC,SET,29,5
R1639,occupancy,AC,<,29,Fan,SET,24,4
R1640,time,Fan,>,28,Light,OFF,27,3
R1641,temperature,AC,<,30,Light,ON,28,3
R1642,occupancy,Light,=,22,Fan,ON,19,1
R1643,time,AC,=,34,AC,ON,27,1
R1644,occupancy,Fan,=,16,Light,OFF,29,4
R1645,time,AC,=,26,Light,OFF,24,2
R1646,occupancy,Fan,=,22,Light,SET,20,1
R1647,temperature,AC,=,32,Light,SET,18,1
R1648,occupancy,Fan,=,22,Light,SET,27,3
R1649,time,Fan,>,22,Fan,ON,23,2
R1650,temperature,AC,<,33,Light,ON,22,2
R1651,time,Light,<,22,Light,SET,16,3
R1652,occupancy,Fan,=,18,AC,OFF,20,5
R1653,temperature,Fan,=,19,Fan,SET,16,5
R1654,occupancy,Light,>,23,Light,ON,29,1
R1655,time,Fan,>,16,AC,OFF,20,1
R1656,time,Light,=,19,Light,OFF,29,3
R1657,time,Light,<,32,AC,ON,16,2
R1658,time,Light,<,21,Fan,SET,21,3
R1659,temperature,Fan,>,26,Fan,SET,22,5
R1660,temperature,AC,>,34,Light,OFF,23,3
R1661,temperature,Light,>,20,AC,ON,21,1
R1662,temperature,AC,<,29,AC,SET,17,3
R1663,temperature,AC,>,24,Light,OFF,16,5
R1664,time,AC,=,29,AC,OFF,18,3
R1665,temperature,Light,=,25,Light,OFF,17,4
R1666,time,AC,>,18,AC,SET,27,1
R1667,temperature,AC,<,30,Light,ON,29,1
R1668,occupancy,Light,<,30,AC,OFF,18,3
R1669,temperature,Fan,=,25,AC,SET,20,2
R1670,temperature,Fan,>,21,Light,OFF,16,3
R1671,time,Light,=,17,Fan,OFF,19,3
R1672,time,Light,>,26,Light,SET,25,5
R1673,occupancy,Light,<,21,Light,ON,26,5
R1674,temperature,AC,<,20,Fan,OFF,23,5
R1675,occupancy,AC,=,32,Fan,ON,18,1
R1676,occupancy,AC,<,34,AC,OFF,30,1
R1677,occupancy,Light,=,18,Fan,SET,21,4
R1678,occupancy,Fan,=,27,Light,ON,28,5
R1679,occupancy,Fan,<,23,Light,ON,21,5
R1680,temperature,Fan,>,20,Light,ON,20,1
R1681,temperature,Fan,=,21,Light,OFF,24,5
R1682,temperature,AC,>,35,AC,SET,26,2
R1683,occupancy,Fan,>,23,Light,ON,20,4
R1684,temperature,Light,<,31,Light,ON,28,3
R1685,temperature,Fan,<,28,AC,ON,27,1
R1686,occupancy,AC,>,20,Fan,ON,29,1
R1687,temperature,AC,>,19,AC,ON,17,1
R1688,occupancy,Fan,>,18,Fan,OFF,19,3
R1689,occupancy,Light,=,16,Fan,SET,21,4
R1690,time,Light,>,31,Fan,SET,16,2
R1691,time,AC,=,25,Light,ON,23,4
R1692,occupancy,Light,=,32,Fan,SET,27,4
R1693,temperature,Light,=,29,Light,OFF,28,4
R1694,occupancy,AC,<,16,Fan,ON,27,1
R1695,occupancy,Light,<,30,AC,OFF,27,5
R1696,occupancy,AC,>,34,Fan,SET,24,4
R1697,temperature,AC,>,35,Fan,ON,23,4
R1698,occupancy,Light,>,20,AC,ON,17,3
R1699,temperature,AC,=,25,AC,ON,18,4
R1700,time,Light,>,23,Light,OFF,27,5
R1701,temperature,AC,<,23,AC,ON,17,5
R1702,occupancy,Fan,=,35,Light,ON,23,4
R1703,occupancy,Fan,=,31,AC,SET,23,3
R1704,temperature,Light,=,34,Fan,ON,30,5
R1705,temperature,Fan,<,33,Fan,ON,18,1
R1706,temperature,AC,<,19,Fan,SET,26,1
R1707,occupancy,AC,>,28,Fan,SET,18,4
R1708,temperature,Light,<,26,Light,OFF,24,2
R1709,time,Light,=,22,Fan,OFF,17,4
R1710,occupancy,Fan,<,16,Light,OFF,26,5
R1711,temperature,Light,>,18,Fan,OFF,24,4
R1712,occupancy,Fan,>,17,AC,SET,27,3
R1713,occupancy,Light,<,21,Fan,OFF,20,5
R1714,temperature,AC,<,28,Fan,OFF,16,5
R1715,occupancy,Fan,=,30,AC,OFF,17,5
R1716,time,Fan,>,32,AC,SET,27,1
R1717,occupancy,Light,>,25,Fan,SET,23,4
R1718,occupancy,Fan,=,25,Fan,SET,27,4
R1719,temperature,Light,>,19,Light,OFF,24,2
R1720,time,Fan,<,26,Fan,ON,17,3
R1721,temperature,Light,=,27,Fan,OFF,26,3
R1722,occupancy,Light,>,30,Light,SET,28,4
R1723,time,Fan,=,17,Fan,ON,26,4
R1724,time,AC,>,16,AC,OFF,23,3
R1725,temperature,AC,>,31,AC,ON,21,3
R1726,time,Light,>,34,Light,ON,24,1
R1727,occupancy,Light,>,24,AC,OFF,21,4
R1728,occupancy,Fan,>,31,Fan,OFF,20,2
R1729,time,Fan,<,20,Light,SET,22,3
R1730,occupancy,AC,<,25,AC,ON,24,3
R1731,time,AC,>,20,AC,ON,20,2
R1732,temperature,Fan,=,28,AC,ON,23,4
R1733,temperature,AC,=,17,Light,OFF,17,3
R1734,time,Fan,<,17,Light,OFF,22,5
R1735,occupancy,AC,<,17,AC,ON,25,4
R1736,temperature,Light,=,26,Fan,ON,27,1
R1737,time,AC,<,16,Fan,ON,27,2
R1738,occupancy,Light,<,19,Light,ON,27,4
R1739,occupancy,Fan,<,27,AC,SET,19,5
R1740,occupancy,Fan,>,19,Light,OFF,16,5
R1741,temperature,AC,=,34,Fan,SET,23,2
R1742,occupancy,Fan,>,29,AC,SET,19,1
R1743,temperature,AC,=,30,Fan,ON,17,3
R1744,time,Light,>,34,Fan,OFF,16,4
R1745,occupancy,Fan,>,18,Fan,SET,26,4
R1746,temperature,AC,>,31,AC,OFF,30,2
R1747,occupancy,Light,>,30,Fan,ON,18,1
R1748,temperature,Fan,<,35,Light,ON,29,5
R1749,occupancy,AC,=,28,Fan,SET,30,5
R1750,occupancy,Light,<,17,AC,ON,23,5
R1751,occupancy,Light,=,30,AC,SET,30,4
R1752,time,AC,>,18,AC,SET,16,1
R1753,time,Light,=,20,AC,OFF,24,2
R1754,temperature,AC,>,30,Fan,OFF,21,2
R1755,temperature,Light,>,28,Light,OFF,19,3
R1756,time,Fan,=,35,Fan,ON,24,3
R1757,occupancy,Fan,>,21,Fan,OFF,17,1
R1758,occupancy,Fan,=,25,AC,SET,23,3
R1759,time,Light,=,34,Fan,ON,16,2
R1760,temperature,Light,<,18,Light,ON,22,3
R1761,time,Fan,<,28,AC,SET,16,1
R1762,temperature,Light,=,27,Fan,SET,20,4
R1763,temperature,Fan,>,31,Fan,SET,29,1
R1764,temperature,Light,<,30,AC,ON,21,5
R1765,temperature,Fan,>,23,Fan,ON,29,3
R1766,temperature,Light,<,26,Fan,OFF,16,4
R1767,occupancy,AC,>,34,Light,SET,16,3
R1768,occupancy,Light,>,21,AC,OFF,26,4
R1769,occupancy,AC,>,18,Fan,OFF,24,5
R1770,occupancy,Fan,=,21,Light,ON,23,2
R1771,temperature,Fan,=,25,AC,SET,28,1
R1772,temperature,AC,<,23,Light,ON,20,5
R1773,temperature,Fan,<,28,AC,SET,23,4
R1774,occupancy,AC,>,24,Fan,OFF,29,4
R1775,time,Fan,<,16,Fan,SET,25,2
R1776,time,Light,<,17,Light,ON,19,2
R1777,time,Light,>,28,Light,ON,17,4
R1778,occupancy,AC,<,29,Light,SET,22,5
R1779,occupancy,AC,=,16,Fan,SET,25,5
R1780,occupancy,AC,>,16,AC,OFF,18,3
R1781,temperature,AC,=,22,Light,OFF,22,3
R1782,time,Fan,>,35,AC,ON,24,3
R1783,temperature,Fan,>,24,AC,ON,26,2
R1784,temperature,Fan,<,21,Fan,ON,29,4
R1785,time,AC,=,20,Light,ON,22,5
R1786,time,Light,<,34,Fan,SET,20,5
R1787,temperature,Light,>,35,AC,OFF,27,4
R1788,time,Light,=,32,AC,ON,18,4
R1789,occupancy,AC,=,18,Light,ON,29,4
R1790,occupancy,AC,=,29,AC,SET,26,5
R1791,time,Light,>,35,Light,ON,24,5
R1792,time,AC,=,22,AC,ON,22,3
R1793,time,AC,<,25,Fan,ON,29,4
R1794,temperature,Fan,=,24,AC,ON,22,4
R1795,occupancy,Light,=,31,AC,ON,18,2
R1796,temperature,Fan,>,20,Fan,ON,16,3
R1797,temperature,Light,>,21,Light,OFF,30,5
R1798,occupancy,AC,>,28,Fan,OFF,29,3
R1799,time,AC,=,28,AC,ON,28,4
R1800,occupancy,AC,>,22,Light,SET,22,3
R1801,occupancy,Light,<,30,Fan,SET,29,1
R1802,temperature,Fan,<,25,Fan,SET,17,5
R1803,time,AC,>,20,Light,ON,16,5
R1804,occupancy,Light,=,19,Light,ON,27,2
R1805,temperature,Fan,<,27,AC,SET,28,3
R1806,occupancy,Light,=,32,Fan,ON,30,4
R1807,temperature,Light,<,27,Fan,OFF,25,4
R1808,time,Light,<,29,Light,SET,23,1
R1809,occupancy,AC,>,28,Fan,ON,20,2
R1810,time,Fan,=,19,Fan,SET,19,5
R1811,occupancy,Light,<,22,Light,SET,20,1
R1812,temperature,AC,<,20,Fan,OFF,19,5
R1813,temperature,Fan,<,24,AC,OFF,18,4
R1814,temperature,Light,<,20,Light,ON,17,2
R1815,time,AC,=,18,Light,SET,27,4
R1816,time,AC,<,30,AC,SET,17,1
R1817,occupancy,AC,=,21,Light,OFF,30,1
R1818,occupancy,Light,=,26,AC,SET,24,2
R1819,time,AC,<,19,AC,ON,20,2
R1820,occupancy,AC,>,26,Light,ON,22,3
R1821,time,AC,>,30,AC,ON,25,3
R1822,time,Fan,>,22,Fan,SET,20,1
R1823,occupancy,Light,<,24,AC,SET,19,1
R1824,time,AC,<,25,AC,SET,23,5
